"course.code","course.title","school"
"COMP102","Introduction to Computer Program Design","ECS"
"COMP103","Introduction to Data Structures and Algorithms","ECS"
"COMP112","Introduction to Computer Science","ECS"
"COMP132","Programming for the Natural and Social Sciences","ECS"
"DATA101","Introduction to Data Science","SMS"
"MATH132","Introduction to Mathematical Thinking","SMS"
"MATH141","Calculus 1A","SMS"
"MATH142","Calculus 1B","SMS"
"MATH151","Algebra","SMS"
"MATH161","Discrete Mathematics and Logic","SMS"
"MATH177","Probability and Decision Modelling","SMS"
"STAT193","Statistics for the Natural and Social Sciences","SMS"
