"YearQuarter","Date","Origin","NumFlights","Year"
"2015Q1",2015-01-01,"Brisbane",1098,2015
"2015Q1",2015-01-01,"Melbourne",1426,2015
"2015Q1",2015-01-01,"Coolangatta",375,2015
"2015Q1",2015-01-01,"Sydney",2282,2015
"2015Q2",2015-04-01,"Brisbane",1087,2015
"2015Q2",2015-04-01,"Melbourne",1309,2015
"2015Q2",2015-04-01,"Coolangatta",385,2015
"2015Q2",2015-04-01,"Sydney",2000,2015
"2015Q3",2015-07-01,"Brisbane",1228,2015
"2015Q3",2015-07-01,"Melbourne",1455,2015
"2015Q3",2015-07-01,"Coolangatta",431,2015
"2015Q3",2015-07-01,"Sydney",2200,2015
"2015Q4",2015-10-01,"Brisbane",1165,2015
"2015Q4",2015-10-01,"Melbourne",1573,2015
"2015Q4",2015-10-01,"Coolangatta",422,2015
"2015Q4",2015-10-01,"Sydney",2343,2015
